"Date","Price","Open","High","Low","Vol.","Change %"
"19/08/2022","22.27","26.65","26.65","21.50","3.42K","-20.00%"
"18/08/2022","27.84","28.42","29.88","27.80","0.89K","-3.46%"
"17/08/2022","28.84","30.18","30.18","29.11","0.04K","-4.33%"
"16/08/2022","30.14","33.95","34.18","29.18","4.82K","-11.20%"
"15/08/2022","33.95","33.18","35.02","32.95","0.71K","-2.43%"
"12/08/2022","34.79","30.49","32.41","29.95","0.49K","3.90%"
"11/08/2022","33.48","31.49","35.56","31.49","0.57K","9.27%"
"10/08/2022","30.64","28.03","30.72","27.65","1.34K","11.92%"
"09/08/2022","27.38","35.40","35.40","27.65","3.08K","-34.59%"
"08/08/2022","41.86","59.29","59.29","32.03","2.67K","-25.85%"
"05/08/2022","56.45","57.29","61.06","53.76","1.23K","2.51%"
"04/08/2022","55.07","57.29","57.60","54.53","0.24K","-3.76%"
"03/08/2022","57.22","53.45","56.83","52.53","0.18K","6.13%"
"02/08/2022","53.91","43.16","52.99","43.16","0.12K","11.96%"
"01/08/2022","48.15","43.39","44.47","42.24","0.11K","13.69%"
"29/07/2022","42.36","43.24","45.16","40.70","0.12K","1.57%"
"28/07/2022","41.70","40.78","41.24","40.70","0.69K","12.07%"
"27/07/2022","37.21","33.95","36.40","33.95","0.04K","6.37%"
"26/07/2022","34.98","38.32","38.32","34.64","0.03K","-5.89%"
"25/07/2022","37.17","43.32","43.32","36.63","0.08K","-8.59%"
"22/07/2022","40.67","48.46","48.46","41.47","0.26K","-13.34%"
"21/07/2022","46.92","43.78","50.92","40.93","0.52K","8.53%"
"20/07/2022","43.24","42.09","46.62","42.09","0.41K","32.78%"
"19/07/2022","32.56","32.79","33.25","30.72","0.27K","-4.07%"
"18/07/2022","33.95","33.72","34.94","33.72","0.36K","12.76%"
"15/07/2022","30.11","31.18","32.26","29.18","0.09K","-4.04%"
"14/07/2022","31.37","34.87","34.87","31.49","0.07K","-12.62%"
"13/07/2022","35.90","37.25","37.25","34.18","0.04K","-3.51%"
"12/07/2022","37.21","36.86","38.40","35.33","0.14K","-9.52%"
"11/07/2022","41.13","45.31","45.31","39.71","0.32K","-15.00%"
"08/07/2022","48.38","44.54","48.69","42.24","0.61K","5.88%"
"07/07/2022","45.70","44.62","44.93","41.78","0.17K","5.12%"
"06/07/2022","43.47","41.93","45.16","41.93","0.25K","14.11%"
"05/07/2022","38.09","36.48","36.48","34.79","0.10K","4.42%"
"04/07/2022","36.48","36.63","36.71","36.63","0.07K","4.05%"
"01/07/2022","35.06","33.79","35.48","33.25","0.08K","0.77%"
"30/06/2022","34.79","33.79","33.79","30.72","0.57K","-6.11%"
"29/06/2022","37.06","38.40","40.70","34.25","0.19K","-3.21%"
"28/06/2022","38.28","44.24","44.24","38.25","0.21K","-11.06%"
"27/06/2022","43.05","41.47","50.38","40.47","0.40K","3.89%"
"24/06/2022","41.43","40.40","43.85","40.40","0.35K","5.68%"
"23/06/2022","39.21","35.71","38.40","34.94","0.06K","6.47%"
"22/06/2022","36.83","29.03","36.71","27.80","0.04K","9.73%"
"21/06/2022","33.56","28.72","33.87","28.72","0.06K","26.30%"
"20/06/2022","26.57","26.11","26.65","26.11","0.01K","6.30%"
"17/06/2022","25.00","21.89","25.34","21.66","0.19K","10.71%"
"16/06/2022","22.58","23.04","23.04","21.89","0.13K","-16.00%"
"15/06/2022","26.88","24.50","24.88","24.50","0.13K","12.72%"
"14/06/2022","23.85","21.43","24.04","21.43","0.11K","11.29%"
"13/06/2022","21.43","26.80","26.80","21.04","0.21K","-22.82%"
"10/06/2022","27.76","33.79","33.79","27.80","0.62K","59,477.69%"
"09/06/2022","0.05","0.05","0.05","0.05","97.99K","-14.57%"
"08/06/2022","0.05","0.05","0.05","0.05","20.68K","11.55%"
"07/06/2022","0.05","0.05","0.05","0.05","162.31K","0.00%"
"06/06/2022","0.05","0.05","0.05","0.05","141.53K","0.00%"
"01/06/2022","0.04","0.05","0.05","0.04","478.64K","0.00%"
"31/05/2022","0.05","0.05","0.05","0.05","2.19M","0.00%"
"30/05/2022","0.05","0.05","0.05","0.05","82.80K","11.56%"
"27/05/2022","0.04","0.04","0.05","0.04","228.63K","13.36%"
"26/05/2022","0.04","0.04","0.04","0.03","156.61K","17.49%"
"25/05/2022","0.03","0.03","0.03","0.03","49.83K","0.00%"
"24/05/2022","0.03","0.04","0.04","0.03","423.56K","-16.12%"
"23/05/2022","0.04","0.04","0.04","0.04","28.97K","0.00%"
"20/05/2022","0.04","0.04","0.04","0.04","135.65K","-12.66%"
"19/05/2022","0.04","0.04","0.04","0.04","314.71K","0.00%"
"18/05/2022","0.04","0.04","0.04","0.04","70.77K","0.00%"
"17/05/2022","0.04","0.04","0.04","0.04","94.76K","0.00%"
"16/05/2022","0.04","0.04","0.04","0.04","672.83K","0.00%"
"13/05/2022","0.04","0.03","0.04","0.03","703.79K","39.67%"
"12/05/2022","0.03","0.03","0.03","0.02","1.30M","0.00%"
"11/05/2022","0.03","0.03","0.03","0.03","394.50K","0.00%"
"10/05/2022","0.03","0.04","0.04","0.03","4.28M","-38.37%"
"09/05/2022","0.04","0.10","0.10","0.04","405.77K","-59.43%"
"06/05/2022","0.11","0.11","0.12","0.09","151.53K","-10.21%"
"05/05/2022","0.12","0.14","0.15","0.12","282.07K","0.00%"
"04/05/2022","0.12","0.14","0.14","0.12","508.55K","-14.78%"
"03/05/2022","0.14","0.14","0.15","0.14","893.44K","-3.63%"
"29/04/2022","0.14","0.14","0.15","0.14","151.20K","7.63%"
"28/04/2022","0.13","0.15","0.15","0.13","204.57K","-7.63%"
"27/04/2022","0.14","0.17","0.17","0.14","93.84K","-10.80%"
"26/04/2022","0.16","0.21","0.21","0.16","116.80K","-20.71%"
"25/04/2022","0.20","0.21","0.21","0.19","198.73K","-8.12%"
"22/04/2022","0.22","0.23","0.24","0.22","360.00K","-10.80%"
"21/04/2022","0.25","0.25","0.26","0.25","35.15K","-2.87%"
"20/04/2022","0.26","0.26","0.27","0.25","87.46K","0.00%"
"19/04/2022","0.25","0.23","0.25","0.21","79.73K","5.48%"
"14/04/2022","0.24","0.26","0.26","0.25","33.56K","-7.68%"
"13/04/2022","0.26","0.25","0.25","0.24","73.61K","0.00%"
"12/04/2022","0.26","0.24","0.27","0.24","94.94K","6.76%"
"11/04/2022","0.24","0.25","0.25","0.22","140.75K","-5.42%"
"08/04/2022","0.26","0.27","0.28","0.24","156.72K","0.00%"
"07/04/2022","0.25","0.28","0.29","0.26","195.57K","-5.33%"
"06/04/2022","0.27","0.34","0.34","0.27","98.75K","-25.63%"
"05/04/2022","0.36","0.39","0.40","0.37","199.82K","-5.09%"
"04/04/2022","0.38","0.35","0.37","0.34","16.10K","13.30%"
"01/04/2022","0.34","0.34","0.34","0.33","32.29K","0.00%"
"31/03/2022","0.34","0.34","0.34","0.33","6.27K","-3.79%"
"30/03/2022","0.35","0.36","0.38","0.34","79.53K","4.58%"
"29/03/2022","0.34","0.32","0.32","0.31","77.12K","16.44%"
"28/03/2022","0.29","0.28","0.30","0.28","16.87K","5.44%"
"25/03/2022","0.27","0.30","0.31","0.27","343.41K","-7.27%"
"24/03/2022","0.29","0.31","0.31","0.28","49.51K","-6.36%"
"23/03/2022","0.31","0.30","0.32","0.29","485.71K","7.52%"
"22/03/2022","0.29","0.26","0.31","0.26","403.35K","5.03%"
"21/03/2022","0.28","0.28","0.29","0.25","135.50K","0.00%"
"18/03/2022","0.28","0.25","0.27","0.24","71.26K","19.83%"
"17/03/2022","0.23","0.20","0.23","0.20","43.97K","14.67%"
"16/03/2022","0.20","0.18","0.21","0.18","217.48K","29.02%"
"15/03/2022","0.16","0.16","0.16","0.15","116.62K","-8.91%"
"14/03/2022","0.17","0.19","0.20","0.17","75.96K","-18.69%"
"11/03/2022","0.21","0.22","0.22","0.22","40.91K","0.00%"
"10/03/2022","0.21","0.22","0.23","0.20","165.36K","-3.60%"
"09/03/2022","0.22","0.21","0.23","0.20","127.97K","27.14%"
"08/03/2022","0.17","0.20","0.20","0.18","72.32K","-16.47%"
"07/03/2022","0.21","0.20","0.21","0.20","70.40K","3.97%"
"04/03/2022","0.20","0.22","0.22","0.18","27.84K","-7.78%"
"03/03/2022","0.22","0.24","0.25","0.21","110.36K","-10.63%"
"02/03/2022","0.24","0.26","0.27","0.22","252.63K","-3.74%"
"01/03/2022","0.25","0.25","0.26","0.23","77.69K","0.00%"
"28/02/2022","0.26","0.23","0.25","0.22","357.90K","8.02%"
"25/02/2022","0.24","0.23","0.25","0.20","1.01M","15.61%"
"24/02/2022","0.20","0.16","0.22","0.13","73.39K","15.82%"
"23/02/2022","0.18","0.18","0.21","0.17","416.36K","0.00%"
"22/02/2022","0.18","0.18","0.21","0.17","250.99K","-12.56%"
"21/02/2022","0.21","0.22","0.22","0.19","86.09K","2.99%"
"18/02/2022","0.20","0.27","0.28","0.18","782.64K","-38.72%"
"17/02/2022","0.33","0.54","0.54","0.28","845.01K","-31.31%"
"16/02/2022","0.48","0.45","0.53","0.45","605.44K","3.02%"
"15/02/2022","0.46","0.46","0.47","0.43","751.58K","1.31%"
"14/02/2022","0.46","0.39","0.45","0.38","217.63K","2.69%"
"11/02/2022","0.45","0.44","0.48","0.42","125.99K","-9.45%"
"10/02/2022","0.49","0.44","0.50","0.44","536.48K","8.25%"
"09/02/2022","0.45","0.41","0.46","0.41","74.69K","15.80%"
"08/02/2022","0.39","0.40","0.41","0.38","287.28K","-4.85%"
"07/02/2022","0.41","0.40","0.44","0.40","279.34K","9.13%"
"04/02/2022","0.38","0.39","0.39","0.35","601.03K","-6.67%"
"03/02/2022","0.41","0.41","0.42","0.40","196.10K","-5.92%"
