"Date","Price","Open","High","Low","Vol.","Change %"
"05/15/2024","126.60","125.50","126.60","124.60","25.70K","2.83%"
"05/14/2024","123.11","122.38","123.39","122.20","21.70K","1.43%"
"05/13/2024","121.37","121.22","121.48","120.85","10.67K","0.18%"
"05/10/2024","121.15","121.02","121.16","120.33","11.98K","0.36%"
"05/09/2024","120.72","119.92","120.72","119.75","14.75K","1.16%"
"05/08/2024","119.34","119.47","120.17","119.06","10.38K","-0.33%"
"05/07/2024","119.74","120.54","120.66","119.20","21.00K","-1.40%"
"05/06/2024","121.44","121.39","121.74","121.00","15.01K","0.21%"
"05/03/2024","121.18","121.57","121.94","120.91","20.81K","0.31%"
"05/02/2024","120.80","120.10","120.91","119.01","42.11K","1.10%"
"05/01/2024","119.49","116.53","123.73","116.53","14.81K","-0.53%"
"04/30/2024","120.13","123.79","124.04","120.13","36.79K","-4.31%"
"04/29/2024","125.54","124.28","125.54","123.40","23.83K","1.39%"
"04/26/2024","123.82","122.00","124.00","121.69","21.70K","1.83%"
"04/25/2024","121.59","120.78","122.09","120.08","25.96K","-0.11%"
"04/24/2024","121.72","122.72","122.83","121.23","132.07K","-0.47%"
"04/23/2024","122.29","120.56","122.71","120.38","32.19K","2.20%"
"04/22/2024","119.66","119.56","120.28","118.57","84.68K","0.22%"
"04/19/2024","119.40","120.15","120.53","119.28","76.84K","-0.28%"
"04/18/2024","119.73","118.89","120.75","118.23","112.72K","2.13%"
"04/17/2024","117.23","116.82","118.07","116.62","65.33K","5.60%"
"04/16/2024","111.01","107.73","112.46","106.91","94.14K","2.73%"
"04/15/2024","108.06","109.08","109.93","107.57","20.06K","3.95%"
"04/12/2024","103.95","104.29","104.84","103.71","12.63K","-3.74%"
"04/11/2024","107.99","108.03","108.12","106.16","14.42K","0.14%"
"04/10/2024","107.84","107.51","108.39","107.07","14.04K","-1.36%"
"04/09/2024","109.33","110.17","110.36","108.64","54.70K","-1.36%"
"04/08/2024","110.84","110.08","111.23","110.02","14.95K","1.49%"
"04/05/2024","109.21","108.86","109.83","108.31","34.35K","0.82%"
"04/04/2024","108.32","110.10","110.52","108.14","15.27K","-0.40%"
"04/03/2024","108.75","108.11","109.37","108.06","30.20K","-0.14%"
"04/02/2024","108.90","109.43","109.80","108.45","36.43K","-2.53%"
"04/01/2024","111.73","113.00","115.00","111.26","18.93K","-0.31%"
"03/28/2024","112.08","111.38","112.22","111.33","25.89K","0.80%"
"03/27/2024","111.19","112.12","112.81","110.51","19.75K","0.67%"
