"Date","Price","Open","High","Low","Vol.","Change %"
"20/01/2022","498.40","497.23","503.97","492.84","29.45M","-0.43%"
"19/01/2022","500.55","502.80","507.20","498.50","38.17M","-0.68%"
"18/01/2022","503.97","501.53","506.90","497.17","29.69M","-0.58%"
"17/01/2022","506.90","504.95","507.18","504.27","26.45M","0.46%"
"14/01/2022","504.56","497.72","505.44","496.94","21.40M","0.70%"
"13/01/2022","501.04","489.81","501.92","486.63","34.55M","2.35%"
"12/01/2022","489.52","485.41","489.71","483.26","34.32M","1.25%"
"11/01/2022","483.46","477.85","484.39","477.85","34.08M","0.61%"
"10/01/2022","480.53","477.36","482.05","472.13","33.70M","2.01%"
"07/01/2022","471.06","466.96","471.35","464.71","30.91M","0.85%"
"06/01/2022","467.10","454.06","468.30","453.14","33.20M","2.13%"
"05/01/2022","457.38","455.33","460.02","454.26","24.21M","-0.68%"
"04/01/2022","460.51","446.25","461.58","444.39","32.65M","5.09%"
"31/12/2021","438.19","434.63","438.34","434.63","5.47M","0.01%"
"30/12/2021","438.14","436.63","440.39","435.85","10.63M","-0.18%"
"29/12/2021","438.92","440.58","442.44","437.85","15.90M","0.38%"
"24/12/2021","437.26","437.22","440.78","436.68","3.14M","-0.05%"
"23/12/2021","437.46","432.43","439.07","432.28","9.27M","0.74%"
"22/12/2021","434.24","430.72","435.61","430.23","15.99M","-0.13%"
"21/12/2021","434.82","431.60","436.09","429.40","28.41M","0.77%"
"20/12/2021","431.50","429.74","435.07","423.88","23.07M","-0.82%"
"17/12/2021","435.07","436.87","439.27","431.50","36.82M","-0.62%"
"16/12/2021","437.80","425.69","439.32","422.22","40.03M","3.69%"
"15/12/2021","422.22","425.35","428.29","422.22","24.36M","-0.55%"
"14/12/2021","424.57","422.27","427.59","421.44","27.37M","0.79%"
"13/12/2021","421.25","427.30","429.82","419.54","20.28M","-1.68%"
"10/12/2021","428.43","429.26","431.60","427.94","19.65M","-0.41%"
"09/12/2021","430.18","430.67","431.99","427.01","16.52M","0.03%"
"08/12/2021","430.04","430.72","433.80","425.84","18.92M","-0.72%"
"07/12/2021","433.16","432.19","435.41","430.38","17.89M","1.42%"
"06/12/2021","427.11","423.88","428.57","422.81","13.97M","1.77%"
"03/12/2021","419.68","424.86","427.11","417.54","21.92M","-0.44%"
"02/12/2021","421.54","414.90","423.20","414.31","23.46M","0.56%"
"01/12/2021","419.20","408.74","419.39","408.50","26.47M","2.35%"
"30/11/2021","409.57","402.20","412.36","400.30","56.49M","0.70%"
"29/11/2021","406.74","409.67","413.97","405.38","23.58M","0.58%"
"26/11/2021","404.40","417.29","419.20","403.76","32.55M","-6.70%"
"25/11/2021","433.46","434.14","435.36","429.60","10.15M","0.10%"
"24/11/2021","433.02","432.53","436.92","431.84","12.67M","0.09%"
"23/11/2021","432.62","423.88","436.43","423.69","16.99M","1.37%"
"22/11/2021","426.76","424.13","427.74","421.34","17.46M","1.21%"
"19/11/2021","421.64","429.26","435.60","418.71","34.15M","-1.66%"
"18/11/2021","428.77","429.11","431.84","426.86","19.18M","-0.14%"
"17/11/2021","429.35","429.26","432.72","427.94","24.37M","-0.09%"
"16/11/2021","429.74","427.11","431.29","425.89","18.53M","0.75%"
"15/11/2021","426.52","421.20","427.30","420.27","15.99M","0.58%"
"12/11/2021","424.08","425.74","426.81","422.05","24.51M","0.15%"
"11/11/2021","423.44","425.20","428.72","422.22","17.94M","0.52%"
"10/11/2021","421.25","419.68","423.15","418.02","21.92M","0.37%"
"09/11/2021","419.68","419.49","422.81","418.37","20.73M","-1.03%"
"08/11/2021","424.03","425.45","428.47","423.91","19.07M","-0.71%"
"05/11/2021","427.06","421.64","431.45","420.86","19.85M","0.86%"
"04/11/2021","423.40","435.12","435.80","420.91","36.20M","-2.47%"
"03/11/2021","434.14","432.09","434.14","430.13","19.10M","-0.01%"
"02/11/2021","434.19","433.50","434.53","427.94","17.39M","-0.44%"
"01/11/2021","436.09","430.72","437.07","430.72","17.53M","1.13%"
"29/10/2021","431.21","426.52","433.02","425.45","30.96M","0.25%"
"28/10/2021","430.13","430.92","432.87","426.33","22.63M","-0.97%"
"27/10/2021","434.33","436.73","437.70","432.19","18.32M","-0.55%"
"26/10/2021","436.73","431.06","437.51","430.18","28.29M","0.93%"
"25/10/2021","432.72","428.08","432.72","423.44","27.68M","1.90%"
"22/10/2021","424.66","423.98","427.74","422.17","19.56M","0.01%"
"21/10/2021","424.62","422.32","426.42","421.30","17.58M","0.34%"
"20/10/2021","423.20","422.03","425.06","419.78","15.96M","0.28%"
"19/10/2021","422.03","421.93","423.98","419.98","15.77M","-0.16%"
"18/10/2021","422.71","420.71","425.74","419.59","17.54M","-0.32%"
"15/10/2021","424.08","421.93","425.89","420.66","36.06M","1.93%"
"14/10/2021","416.07","418.51","419.93","415.24","15.97M","0.34%"
"13/10/2021","414.65","420.61","420.61","412.60","24.54M","-1.04%"
"12/10/2021","419.00","412.02","419.00","412.02","23.63M","-0.42%"
"11/10/2021","420.76","410.65","420.76","410.65","43.02M","2.68%"
"08/10/2021","409.77","403.23","411.46","402.93","33.08M","0.84%"
"07/10/2021","406.35","401.42","409.82","398.49","40.14M","2.40%"
"06/10/2021","396.83","389.46","400.59","388.62","48.15M","3.38%"
"05/10/2021","383.84","377.05","385.50","377.05","16.30M","2.29%"
"04/10/2021","375.24","375.05","380.81","373.49","20.74M","-1.15%"
"01/10/2021","379.59","378.96","380.08","373.83","16.25M","-0.36%"
"30/09/2021","380.96","384.96","385.50","380.52","22.99M","-0.88%"
"29/09/2021","384.33","383.35","385.60","379.93","21.73M","2.11%"
"28/09/2021","376.37","375.39","381.79","373.78","20.41M","-0.15%"
"27/09/2021","376.95","372.31","378.37","369.53","23.03M","2.80%"
"24/09/2021","366.70","367.92","368.21","363.77","27.59M","-0.37%"
"23/09/2021","368.07","367.04","371.83","321.87","31.12M","0.39%"
"22/09/2021","366.65","354.93","368.60","354.39","28.74M","4.35%"
"21/09/2021","351.36","354.54","359.18","350.09","35.93M","-0.54%"
"20/09/2021","353.27","360.50","362.30","353.27","32.88M","-3.81%"
"17/09/2021","367.28","364.31","371.00","363.38","60.82M","1.94%"
"16/09/2021","360.30","361.77","365.18","359.96","22.28M","-0.95%"
"15/09/2021","363.77","363.43","366.65","362.40","20.51M","-0.12%"
"14/09/2021","364.21","368.21","368.51","363.08","21.69M","-1.96%"
"13/09/2021","371.48","369.53","371.97","368.07","11.25M","1.32%"
"10/09/2021","366.65","368.90","371.63","365.09","12.10M","-0.28%"
"09/09/2021","367.67","369.53","370.56","364.79","17.41M","-1.08%"
"08/09/2021","371.68","370.65","372.85","366.89","17.42M","-0.51%"
"07/09/2021","373.58","374.27","376.03","372.46","18.68M","-1.23%"
"06/09/2021","378.22","376.27","378.81","375.24","7.82M","0.73%"
"03/09/2021","375.49","377.20","378.52","374.32","14.20M","-0.72%"
"02/09/2021","378.22","377.59","379.83","373.83","15.77M","0.13%"
"01/09/2021","377.73","379.44","383.13","376.07","14.88M","0.14%"
"31/08/2021","377.20","378.37","381.40","373.49","31.42M","-2.21%"
"27/08/2021","385.74","383.79","386.18","381.79","12.89M","-0.13%"
"26/08/2021","386.23","383.84","388.67","383.30","10.39M","-0.84%"
"25/08/2021","389.50","380.91","389.50","378.81","22.30M","2.15%"
"24/08/2021","381.30","384.38","384.38","378.17","21.20M","-1.23%"
"23/08/2021","386.04","389.70","390.14","384.67","22.79M","-0.23%"
