Price,Open,High,Low,Vol.,Change %
291.61,295.78,297.52,288.3,24950000.0,-0.009000000000000001
294.26,304.57,305.46,291.2,42140000.0,-0.0273
302.52,313.5,315.54,302.22,23840000.0,-0.042699999999999995
316.01,313.03,318.68,310.52,21760000.0,0.0127
312.05,310.88,314.2,307.62,20760000.0,0.0046
310.62,307.54,311.71,304.71,25320000.0,0.005699999999999999
308.87,311.79,314.88,307.36,23050000.0,-0.014499999999999999
313.41,313.62,316.24,310.29,30280000.0,0.0132
309.34,301.74,309.45,300.1,36680000.0,0.037000000000000005
298.29,293.9,300.18,291.9,27590000.0,0.014199999999999999
294.1,295.55,298.13,287.05,37060000.0,0.0123
290.53,292.18,296.2,288.66,25590000.0,-0.005
291.99,295.89,298.12,291.31,47730000.0,-0.008100000000000001
294.37,287.65,298.12,286.36,33870000.0,0.0292
286.02,286.7,289.4,284.85,8630000.0,-0.0033
286.98,284.76,289.05,284.42,19690000.0,0.0194
281.53,284.5,286.57,280.69,15400000.0,-0.0132
285.29,284.82,289.55,284.06,16719999.999999998,-0.0060999999999999995
287.05,282.01,289.35,280.65,26110000.0,0.0308
278.47,288.7,289.79,277.6,24230000.0,-0.0355
288.73,281.51,289.67,278.95,51090000.0,0.013500000000000002
284.88,279.08,285.26,277.79,17560000.0,0.0115
281.64,283.53,284.0,278.36,20560000.0,-0.0095
284.33,278.73,284.8,276.22,20700000.0,0.011899999999999999
281.0,284.75,287.85,280.13,43130000.0,-0.0029
281.83,272.3,283.99,271.42,25970000.0,0.031
273.35,271.89,274.99,268.32,19180000.0,0.0075
271.32,274.88,275.72,269.09,16160000.0,0.001
271.05,267.17,271.75,265.33,15470000.0,0.023
264.95,262.48,267.95,261.7,16950000.0,0.0014000000000000002
264.58,260.62,267.65,258.88,20900000.0,0.0037
263.6,271.67,274.25,262.8,26160000.0,-0.0277
271.12,270.14,276.57,269.69,19420000.0,-0.001
271.39,270.3,275.57,269.56,20740000.0,-0.0045000000000000005
272.61,272.66,275.35,271.12,19420000.0,0.0
272.61,265.9,274.0,265.89,25610000.0,0.0298
264.72,260.0,265.0,258.45,25470000.0,0.0084
262.52,265.25,268.65,261.29,23820000.0,0.0018
262.04,252.93,262.31,252.71,25770000.0,0.037000000000000005
252.69,253.4,255.62,249.17,22370000.0,0.013999999999999999
249.21,245.28,249.59,244.95,17720000.0,0.01
246.74,246.81,251.61,246.65,17750000.0,-0.0064
248.32,245.41,253.57,245.12,27740000.0,0.0109
245.64,247.47,248.69,243.41,21730000.0,-0.0049
246.85,241.3,247.09,241.19,22940000.0,0.018000000000000002
242.49,238.45,243.84,238.14,21190000.0,0.015300000000000001
238.82,235.79,239.63,235.52,18160000.0,-0.0002
238.86,236.92,240.26,235.33,20650000.0,0.0216
233.81,236.74,236.96,231.45,16160000.0,-0.0084
235.79,233.05,238.21,232.3,20450000.0,0.0116
233.08,236.17,236.75,230.72,19120000.0,-0.0012
233.37,231.46,235.88,231.08,16870000.0,0.0004
233.27,231.41,235.62,230.27,16399999.999999998,0.0021
232.78,232.24,234.68,229.85,27000000.0,-0.0032
233.52,236.06,238.2,232.93,17890000.0,-0.0148
237.03,239.47,241.75,232.75,34460000.0,-0.0092
239.24,243.18,244.92,238.99,24350000.0,-0.016200000000000003
243.18,238.62,244.0,236.46,29140000.0,0.011899999999999999
240.32,239.01,240.43,235.75,39550000.0,0.0074
238.56,239.89,241.68,236.77,71200000.0,0.1393
209.4,212.5,214.11,208.88,41990000.0,0.0089
207.55,210.82,211.26,207.13,19200000.0,-0.0246
212.79,213.68,213.92,210.71,15750000.0,-0.0005
212.89,210.21,213.41,209.58,17720000.0,-0.0008
213.07,213.48,216.75,212.77,16480000.0,-0.012199999999999999
215.7,213.47,217.33,212.93,15900000.0,-0.0101
217.89,219.91,220.44,216.21,12280000.0,-0.0044
218.86,219.79,220.98,217.13,15480000.0,-0.011899999999999999
221.49,217.88,222.11,217.55,21590000.0,0.0052
220.35,215.73,221.15,215.69,23310000.0,0.0297
214.0,214.84,216.84,212.58,18970000.0,0.0007000000000000001
213.85,215.48,216.02,213.41,16710000.0,-0.0042
214.75,214.71,215.66,210.66,16110000.0,-0.0062
216.1,209.25,216.94,208.65,26100000.0,0.0218
211.48,214.15,215.19,209.94,19400000.0,-0.0151
214.72,213.39,216.24,212.54,21030000.0,0.0077
213.07,208.84,213.49,208.2,17920000.0,0.0053
211.94,207.24,212.17,206.77,25440000.0,0.0197
207.84,203.38,208.09,202.82,22610000.0,0.0121
205.35,203.56,205.72,202.54,18850000.0,0.0233
200.68,200.15,201.03,197.9,19130000.0,-0.0106
202.84,204.81,205.86,201.36,18530000.0,-0.0154
206.01,205.18,207.58,203.55,27730000.0,0.0085
204.28,202.84,207.88,202.15,27390000.0,0.022400000000000003
199.81,202.5,207.37,199.67,28480000.0,-0.0116
202.16,203.2,203.55,197.95,31830000.0,0.022000000000000002
197.81,198.48,199.36,193.64,25190000.0,0.011200000000000002
195.61,200.56,201.9,195.43,50140000.0,-0.0455
204.93,198.26,205.76,196.09,50820000.0,0.0363
197.75,192.95,197.78,190.84,42120000.0,0.0192
194.02,187.58,194.32,186.56,41640000.0,0.0725
180.9,177.96,183.78,174.82,24730000.0,0.0077
179.51,181.01,184.77,178.8,25670000.0,-0.012
181.69,186.35,188.93,180.3,26580000.0,-0.0177
184.97,182.87,185.26,181.34,19430000.0,0.0025
184.51,189.0,190.36,184.01,36700000.0,-0.0021
184.9,188.0,189.66,184.64,33210000.0,-0.0019
185.25,178.92,186.62,177.05,45880000.0,0.061399999999999996
174.53,172.38,175.01,171.43,17360000.0,0.0064
173.42,174.59,177.85,173.05,31000000.0,-0.0087
174.94,171.9,177.55,171.87,46050000.0,0.0319
169.54,171.88,173.12,169.06,19280000.0,-0.005
170.39,168.64,170.72,167.66,19790000.0,-0.0096
172.04,172.0,173.69,169.38,20020000.0,0.0054
171.12,171.07,172.76,169.69,22430000.0,-0.005600000000000001
172.08,174.31,178.17,171.88,34590000.0,-0.0046
172.88,170.22,173.18,169.7,24170000.0,0.0026
172.44,172.75,175.85,171.79,25830000.0,-0.026600000000000002
